column_0,name,city,state,address,hours of operation,associated airports,Identifier,contact information.name,contact information.phone,contact information.email,aircraft and equipment rentals.planes,flight training.faa classification,flight training.approved for va training,flight training.services,flight training.DPE inside,flight training.in-house maintenance,flight training.number of aircrafts,flight training.dormitory,flight training.visa for foreign students,training opportunities.certifications,training opportunities.ratings,training opportunities.other advanced training,school_type,city_set,flight_available,fax,flight training.affiliated college/university,aircraft and equipment rentals.equipment,aircraft and equipment rentals.simulator,aircraft and equipment rentals.rotorcraft,club listing last verified
1373,Piedmont Aerosports,Advance,NC,"Twin Lakes Airport 1105 Fork Bixby Road Advance , NC 27006","24 hours a day, 7 days a week",Twin Lakes Airport,0MI8,Doug Boyle,(336) 414-2522,pilotboyle@hotmail.com,Ultralight,Part 61,No,Intro Flight,N/A,N/A,N/A,N/A,No,Recreational Pilot; Sport Pilot,Ultralight,,Flight school,Small Town,216,,,,,,
1088,Rebel Aviation,Liberty,MO,"338 N Water St Liberty , MO 64068",By Appointment,Roosterville Airport,0N0,Robert Bingham,(816) 792-4433,rebelav1@sbcglobal.net,Single Engine,Part 61,No,Ground School; Intro Flight,N/A,N/A,N/A,N/A,No,Commercial; Private Pilot,Instrument,,Flight school,Small Town,216,,,,,,
2090,Ohio State University Center for Aviation Studies,Columbus,OH,"2036 Neil Avenue, Columbus, Ohio, 43210 United States",,Columbus Airport,0NM0,,,,,,Yes,Aviation College Degrees and Certifications; Commercial Pilot Certificate,N/A,Yes,20,Yes,F1,Aviation College Degrees and Certifications,Instrument; Multi Engine,,Aviation college,Large City,178,,,,,,
639,AirVentures,Columbus,GA,"Office: 525 Aerotron Pkwy, LaGrange, GA 30240 Columbus Airport: 3250 W. Britt David Road - Hangar 13 Columbus , GA 31909",FAA PublicationsPilot SuppliesRest Rooms,Columbus Airport,0NM0,Jacob J Luitjens,(706) 812-0808,jacobluitjens@hotmail.com,Multi Engine; Single Engine,Part 61,No,Ground School; Intro Flight,N/A,N/A,N/A,N/A,No,Airline Transport Pilot ATP; Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Multi Engine Instructor MEI; Private Pilot; Recreational Pilot,Glider; Instrument; Multi-Engine,Tailwheel,Flight school,Small City,214,(706) 812-1501,,,,,
1047,Thunderbird Aviation,Crystal,MN,"Crystal Airport 5800 Crystal Airport Road Crystal , MN 55429","Sun - Sat, 7:00 AM to 9:00 PM",Crystal Airport,0OK9,Contact us,N/A,managermic@thunderbirdaviation.com,Multi Engine; Single Engine,Part 141; Part 61,No,Computerized Testing; Examiner; Ground School; Intro Flight; Simulator,Yes,N/A,5,N/A,M1,Airline Transport Pilot ATP; Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Multi Engine Instructor MEI; Private Pilot; Recreational Pilot; Sport Pilot,Instrument; Multi-Engine,Aerobatic; Emergency Maneuvers; Turbine; Upset Recovery,Flight school,Small Town,193,(763) 971-0116,No,,,,
1504,Wings Academy,Salem,OR,"3300 25th Street SE Salem , OR 97302","Mon - Fri, 5:00 AM to 8:00 PM",Marr Field,0OR7,Virgil Royer,(503) 369-8946,virgil.royer@gmail.com,,Part 61,No,,N/A,N/A,N/A,N/A,No,Commercial; Private Pilot,,,Flight school,Small City,154,(503) 296-5693,,,,,
134,Acampo Flying Club,Acampo,CA,"23987 N. W. Frontage Road Hanger 11-G Acampo , CA 95220",Single Engine,Lodi Airport,0SD1,Rich Edwards,N/A,redwards@windwalkersecurity.com,Single Engine,Part 61,No,,N/A,N/A,N/A,N/A,No,Private Pilot,,,Flight school,Small Town,261,,,,,,
186,CFI Academy,Acampo,CA,"3700 Jahant Rd Suite A Acampo , CA 95220","From 04/01 to 03/31: Mon - Fri, 9:00 AM to 6:00 PM",Lodi Airport,0SD1,"Manpreet ""Prince"" Singh",(916) 209-0234,admin@cfiacademy.com,Multi Engine; Single Engine; Tailwheel,Part 61,No,Examiner; Ground School; Intro Flight; Simulator,Yes,N/A,N/A,N/A,No,Airline Transport Pilot ATP; Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Flight Instructor Sport CFIS; Multi Engine Instructor MEI; Private Pilot; Recreational Pilot; Sport Pilot,Instrument; Multi-Engine; Seaplane,Emergency Maneuvers; Mountain Flying; Tailwheel; Turbine,Flight school,Small Town,261,,No,,,,
189,California Sport Aviation,Acampo,CA,"Lodi Airport 23987 North Highway 99 Acampo , CA 95220",By Appointment,Lodi Airport,0SD1,Bill Bardin,(916) 488-2359,billbardin@surewest.net,,Part 61,No,Intro Flight,N/A,N/A,N/A,N/A,No,Sport Pilot,Seaplane; Ultralight,,Flight school,Small Town,261,,,,,,
1711,Bell Helicopter Training Academy,Hurst,TX,"9601 Trinity Blvd Hurst , TX 76053","Mon - Fri, 8:00 AM to 4:00 PM",Bell Helicopter Hurst Heliport,0TE2,,,,,Part 61,No,Annual Recurrent Training; Computerized Testing; Ground School; Simulator,N/A,N/A,N/A,N/A,No,,Rotary Wing,,Flight school; Helicopter school,Small Town,237,,,,Flight Training Device (FTD); Full Flight Simulator (FFS),,
958,Urban Aviation Services,Sterling,MA,"121 Greenland Road Sterling , MA 01564","From 1/2 to 12/31: Mon - Sun, 8:00 AM to 6:00 PM",Sterling Airport,10XA,Edward F Urbanowski,(508) 344-8930,efuiav8@gmail.com,Aerobatic; Light Sport; Single Engine; Tailwheel,Part 61,No,Biennial Flight Review; Ground School; Instrument Proficiency Check; Intro Flight,N/A,N/A,N/A,N/A,No,Private Pilot; Sport Pilot,Instrument,High Performance; Spin Training; Tailwheel; Upset Recovery,Flight school,Small Town,197,,,,,,
920,"Jackman Air, LLC",Jackman,ME,"Physical Address: 582 Main Street Mailing Address: 7 Attean Road Jackman , ME 04945",By Appointment,Newton Field,12CL,Jim Schoenmann,(207) 399-2503,n874j@myfairpoint.net,,Part 61,No,Intro Flight,N/A,N/A,N/A,N/A,No,Private Pilot,Seaplane,Mountain Flying,Flight school,Small Town,200,,,,,,
1398,Weltzien Skypark,Wadsworth,OH,"Weltzien Skypark Airport 3071 Greenwich Road Wadsworth , OH 44281","Mon - Sun, 9:00 AM to 9:00 PM",Weltzien Skypark Airport,15G,,,,Single Engine; Tailwheel,Part 61,No,Ground School,N/A,N/A,N/A,N/A,No,Commercial; Private Pilot,Instrument; Multi-Engine,Tailwheel,Flight school,Small Town,164,(330) 336-7820,,,,,
1688,"Fox Aviation International, Inc",Justin,TX,"Propwash Airport 15747 Bonanza Drive Justin , TX 76247","Mon - Sat, 8:00 AM to 5:00 PM",Propwash Airport,16X,Tamara Griffith,(817) 217-8027,info@texasaircraftrestorations.com,Multi Engine; Single Engine,Part 61,No,Biennial Flight Review; Ground School; Instrument Proficiency Check; Intro Flight,N/A,N/A,N/A,N/A,No,Commercial; Private Pilot,Instrument; Multi-Engine,,Flight school,Small Town,233,,,,,,
1498,Pureflight,Newberg,OR,"17770 NE Aviation Way Newberg , OR 97132",Part 141Part 61,Chehalem Airpark,17S,Contact,N/A,Lars@flypureflight.com,,Part 141; Part 61,Yes,,N/A,N/A,N/A,Yes,M1,Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Private Pilot,Instrument; Multi-Engine,Mountain Flying,Flight school,Small Town,155,,No,,,,
1592,"Warbird Adventures, Inc.",Ninety Six,SC,"American Dream SkyRanch 9250 Fruit Hill Road Ninety Six , SC 29666","Mon - Sat, 9:00 AM to 5:00 PM",American Dream Skyranch Airport,18SC,Contact Us,(407) 870-7366,fly@warbirdadventures.com,Aerobatic; Single Engine; Tailwheel,Part 61,No,Annual Recurrent Training; Biennial Flight Review; Ground School; Intro Flight,N/A,N/A,N/A,N/A,No,Commercial; Flight Instructor CFI; Private Pilot,,Aerobatic; Formation; High Performance; Spin Training; Tailwheel; Upset Recovery,Flight school,Small Town,221,,,Parachute,,,
1207,Ascent Aero,Medford,NJ,"Flying W Airport 60 Fostertown Rd Medford , NJ 08055","Sun - Sat, 8:00 AM to 5:00 PM",Flying W Airport,19VA,,,,,Part 141; Part 61,No,,N/A,N/A,N/A,N/A,M1,Airline Transport Pilot ATP; Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Private Pilot,Instrument; Rotary Wing,Emergency Maneuvers; Turbine,Flight school,Small Town,205,(609) 451-5932,Delaware State University; Atlantic Cape Community College,,,,
1214,"Freeflight Aviation, LLC",Medford,NJ,"Flying W Airport 60 Fostertown Road Medford , NJ 08055","24 hours a day, 7 days a week",Flying W Airport,19VA,Don Eck,(302) 367-6405,Donaldeckjr@aol.com,Single Engine,Part 61,No,Annual Recurrent Training; Biennial Flight Review; Computerized Testing; Ground School; Instrument Proficiency Check; Intro Flight; Simulator; Time Building Programs,N/A,N/A,N/A,N/A,No,Airline Transport Pilot ATP; Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Multi Engine Instructor MEI; Private Pilot; Recreational Pilot,Instrument,Aerobatic; Tailwheel; Upset Recovery,Flight school,Small Town,205,(609) 702-1088,,,Basic Aviation Training Device (BATD),,
948,Davis Flying Services,Gaithersburg,MD,"Davis Airport 7200 Hawkins Creamery Road Gaithersburg , MD 20882","Mon - Fri, Dawn to Dusk",Davis Airport,1II3,Alicia Harvey,(814) 571-2563,alicia@microuav.com,Single Engine,Part 61,No,Ground School; Intro Flight,N/A,N/A,N/A,N/A,No,Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Multi Engine Instructor MEI; Private Pilot; Recreational Pilot,Instrument; Multi-Engine,,Flight school,Town,202,,,,,,
694,AeroCareers Flying Club,Columbia,IL,"225 Carl Street Columbia , IL 62236",By Appointment,Flight Park Inc Airport,1IL4,Nicholas M Turk,(618) 530-0805,turkaviation@cs.com,Single Engine,Part 61,No,,N/A,N/A,N/A,N/A,No,Private Pilot,,,Flight school,Small Town,200,,,,,,
858,"Prairie Air Service, Inc.",Benton,KS,"Lloyd Stearman Field 3481 SW Shady Ln Benton , KS 67017",By Appointment,Lloyd Stearman Field,1K1,,,,Single Engine,Part 61,No,Annual Recurrent Training; Ground School; Intro Flight; Simulator,N/A,N/A,N/A,N/A,No,Airline Transport Pilot ATP; Commercial; Flight Instructor Instrument CFII; Multi Engine Instructor MEI; Private Pilot,Instrument; Multi-Engine,,Flight school,Small Town,224,(316) 778-1712,,,Advanced Aviation Training Device (AATD),,
1178,Bush Air,Cal-Nev-Ari,NV,"19 N Comanche Way Cal-Nev-Ari , NV 89039",By Appointment,Kidwell Airport,1L4,"Milne ""CC"" Pocock",(928) 460-3987,CC@Bush-Air.com,,Part 61,No,Biennial Flight Review; Ground School,N/A,N/A,N/A,N/A,No,,,Backcountry Training; Mountain Flying; Tailwheel,Flight school,Small Town,292,,,,,,
780,AlphaFlight LLC,Plymouth,IN,"301 Airport Road Suite E Plymouth , IN 46563","Mon - Fri, 9:00 AM to 5:00 PM",Plymouth Municipal Airport,1P1,Dan Marohn,(574) 914-4455,dan@alphaflight.aero,Multi Engine; Single Engine,Part 141; Part 61,No,Biennial Flight Review; Instrument Proficiency Check; Simulator,N/A,N/A,N/A,Yes,M1,Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Multi Engine Instructor MEI; Private Pilot,Instrument; Multi-Engine,,Flight school,Small Town,176,,,,Advanced Aviation Training Device (AATD),,
957,New England Helicopter Academy,Plymouth,MA,"Plymouth Municipal Airport 246 South Meadow Road, Box 12 Plymouth , MA 02360",By Appointment,Plymouth Municipal Airport,1P1,Contact Us,N/A,training@neha-usa.net,,Part 61,No,Intro Flight,N/A,N/A,N/A,N/A,No,Airline Transport Pilot ATP; Commercial; Flight Instructor CFI; Private Pilot,Rotary Wing,,Flight school; Helicopter school,Small Town,201,,,,,,
967,Alpha One Flight Services,Plymouth,MA,"Plymouth Municipal Airport 246 South Meadow Road, Gate 3 Plymouth , MA 02360","Sun - Sat, 8:30 AM to 5:30 PM",Plymouth Municipal Airport,1P1,Contact Us,(508) 747-1112,info@alpha-1.com,Light Sport; Multi Engine; Single Engine; Tailwheel,Part 61,No,Computerized Testing; Examiner; Ground School; Intro Flight; Simulator,Yes,N/A,N/A,N/A,No,Airline Transport Pilot ATP; Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Multi Engine Instructor MEI; Private Pilot; Recreational Pilot; Sport Pilot,Instrument; Multi-Engine,Tailwheel,Flight school,Small Town,201,(508) 747-1097,,,Procedures Trainer,,
970,Mike Goulian Aviation,Plymouth,MA,"246 S Meadow Rd Gate 6 Hangar SW-2 Plymouth , MA 02360","Mon - Fri, 8:00 AM to 5:00 PM",Plymouth Municipal Airport,1P1,Mike Goulian,(508) 591-5020,training@mikegoulianaviation.com,Single Engine,Part 61,No,,N/A,N/A,N/A,N/A,No,Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Private Pilot,Instrument,Aerobatic; Cirrus; High Performance; Spin Training,Flight school,Small Town,201,,,,,,
1734,ATP Flight School,Arlington,TX,"Dallas Flight School 5400 South Collins Street Arlington , TX 76018",By Appointment,Arlington Municipal Airport,1S8,,,,Multi Engine; Single Engine,Part 61,No,Computerized Testing; Examiner; Ground School; Instrument Proficiency Check; Intro Flight; Simulator,Yes,N/A,N/A,N/A,No,Airline Transport Pilot ATP; Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Multi Engine Instructor MEI; Private Pilot,Instrument; Multi-Engine,Complex; G1000; Glass Cockpit Transition; High Altitude; High Performance; Turbine,Flight school,Medium City,235,,,,Advanced Aviation Training Device (AATD); Flight Training Device (FTD),,
1774,Golf Aero,Arlington,TX,"4844 South Collins Street Suite 105 Arlington , TX 76018","Mon - Sun, 8:00 AM to 5:00 PM",Arlington Municipal Airport,1S8,Kartikey Garasia,(682) 216-6426,golfaero.info@gmail.com,Single Engine,Part 61,No,Biennial Flight Review; Instrument Proficiency Check; Intro Flight,N/A,N/A,N/A,N/A,No,Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Multi Engine Instructor MEI; Private Pilot,Instrument,,Flight school,Medium City,235,,,,,,
1792,Genesis Flight School,Arlington,TX,"5080 S. Collins St. #110 Arlington , TX 76018",By Appointment,Arlington Municipal Airport,1S8,,,,Single Engine,Part 61,No,Ground School; Intro Flight; Simulator,N/A,N/A,N/A,N/A,No,Airline Transport Pilot ATP; Commercial; Flight Instructor CFI; Private Pilot; Sport Pilot,Instrument,,Flight school,Medium City,235,,,,,,
1974,"Arlington Flight Services, Inc.",Arlington,WA,"Arlington Municipal Airport 18810 59th Drive Northeast Building A Arlington , WA 98223","Mon - Fri, 8:00 AM to 4:30 PM",Arlington Municipal Airport,1S8,Contact Us,(360) 435-5700,business@arlingtonflightservices.com,Multi Engine; Single Engine,Part 61,No,Computerized Testing; Examiner; Ground School; Intro Flight; Simulator,Yes,N/A,N/A,N/A,No,Commercial; Private Pilot,Instrument,,Flight school,Small Town,160,(360) 435-4300,,,,,
1986,Mission Aviation Training Academy,Arlington,WA,"Arlington Municipal Airport 19002 59th Drive Northeast Arlington , WA 98223","Mon - Fri, 10:00 AM to 5:00 PM",Arlington Municipal Airport,1S8,,,,Single Engine,Part 61,No,Ground School; Intro Flight; Simulator,N/A,N/A,N/A,N/A,No,Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Private Pilot,Instrument; Multi-Engine,Mountain Flying; Tailwheel,Flight school,Small Town,160,(360) 548-3356,,,Procedures Trainer,,
1723,"Helicopter Experts, Inc.",Bulverde,TX,"Bulverde Airport 29640 Bulverde Lane Bulverde , TX 78163","Mon - Sat, 8:00 AM to 5:00 PM",Bulverde Airpark,1T8,Michael Bisek,(210) 930-0125,admin@helicopterexperts.com,,Part 141; Part 61,No,Examiner; Ground School; Intro Flight,Yes,Yes,5,N/A,M1,Commercial; Flight Instructor CFI; Private Pilot,Instrument; Rotary Wing,,Flight school; Helicopter school,Small Town,223,,,,,Helicopter,
1762,Anderson Aviation,Bulverde,TX,"29890 Bulverde Lane Building 27 Bulverde , TX 78163","Mon - Fri, 9:00 AM to 5:00 PM",Bulverde Airpark,1T8,Thomas Anderson,(210) 287-9073,info@andersonaviationtx.com,Multi Engine; Single Engine,Part 61,No,Ground School; Intro Flight,N/A,N/A,N/A,N/A,No,Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Private Pilot; Sport Pilot,Instrument; Multi-Engine,,Flight school,Small Town,223,,,,,,
1817,Code 1 Flight Training,Wills Point,TX,"131 Private Road 7002 Wills Point , TX 75169","Sun - Sat, 8:00 AM to 7:00 PM",Thompson Field,1TA7,Norm Rathje,(210) 884-2559,norm@code1flighttraining.com,Single Engine,Part 61,No,Ground School; Intro Flight; Simulator,N/A,N/A,N/A,N/A,No,Commercial; Private Pilot,Instrument,,Flight school,Small Town,235,,,,,,
1976,FLYIT Academy,Camas,WA,"632 Northeast 267th Avenue Camas , WA 98607","Mon - Sat, 9:00 AM to 6:00 PM",Grove Field,1W1,Neil Cahoon,(360) 818-4224,info@flyitacademy.com,Single Engine; Tailwheel,Part 61,No,Biennial Flight Review; Ground School; Instrument Proficiency Check; Intro Flight,N/A,N/A,N/A,N/A,No,Private Pilot,Instrument,Tailwheel,Flight school,Small Town,143,,,,,,
1232,"Eagles View Aviation, Inc.",Farmingdale,NJ,"Monmouth Executive Airport 1717 Highway 34, Building 1 Farmingdale , NJ 07727","Sun - Sat, 8:00 AM to 5:00 PM",Eagles Nest Airport,21VA,Priscilla Hargrave,(732) 919-1927,eagles_view@verizon.net,Multi Engine; Single Engine,Part 107; Part 61,No,Annual Recurrent Training; Biennial Flight Review; Computerized Testing; Drone/UAS; Ground School; Instrument Proficiency Check; Intro Flight; Part 107 Drone Testing; Simulator,N/A,N/A,N/A,N/A,No,Airline Transport Pilot ATP; Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Multi Engine Instructor MEI; Private Pilot; Recreational Pilot,Instrument; Multi-Engine,Complex; Drone; Spin Training,Flight school,Small Town,210,(732) 919-7834,,,,,
927,Ocean Aviation Flight Academy,Berlin,MD,"Ocean City Municipal Airport 12724 Airport Road Berlin , MD 21811","From 1/1 to 12/31: Sun - Sat, 8:00 AM to 5:00 PM",Ocean City Municipal Airport,26N,Michael Freed,(410) 213-8400,mfreed@flyoceanaviation.com,Single Engine,Part 141; Part 61,Yes,Ground School; Intro Flight,N/A,Yes,N/A,Yes,M1,Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Private Pilot,Instrument,,Flight school,Small Town,203,,,,,,
765,X-Cell Aviation,Evansville,IN,"6101 Flightline Dr Evansville , IN 47711","24 hours a day, 7 days a week",Boonville Airport,26NC,Jason Fuller,(812) 781-8855,jasonfuller@x-cellaviation.com,Single Engine; Tailwheel,Part 61,No,Ground School; Intro Flight,N/A,N/A,N/A,N/A,No,Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Private Pilot; Recreational Pilot; Sport Pilot,Instrument; Multi-Engine,Emergency Maneuvers; Tailwheel,Flight school,Town,204,,,,,,
35,Pollux Aviation,Wasilla,AK,"6540 E Beechcraft Rd Wasilla , AK 99654",By Appointment,Wolf Lake Airport,26W,Larry Larrivee,(907) 775-0658,larry@polluxaviation.net,,Part 61,No,,N/A,N/A,N/A,N/A,No,Commercial; Private Pilot,Rotary Wing,,Flight school,Small Town,128,(907) 746-0643,,,,,
1142,Sandhills Aero,Valentine,NE,"Miller Field Airport 100 South Street Valentine , NE 69201","24 hours a day, 7 days a week",Miller Field,27MI,Robert Kilmer,(402) 376-1611,vtnflyer@shwisp.net,Single Engine,Part 61,No,Intro Flight,N/A,N/A,N/A,N/A,No,Commercial; Private Pilot; Sport Pilot,Multi-Engine,Tailwheel,Flight school,Small Town,224,,,,,,
1336,Goose Creek Flight School,Indian Trail,NC,"2020 Lawyers Road Indian Trail , NC 28079",Irregular,Goose Creek Airport,28A,Robert Reynolds,(704) 791-8169,28A@GooseCreekAirport.com,Single Engine; Tailwheel,Part 61,No,Annual Recurrent Training; Biennial Flight Review; Ground School; Instrument Proficiency Check; Intro Flight,N/A,N/A,N/A,N/A,No,Private Pilot,Instrument,Tailwheel,Flight school,Small Town,211,,,,,,
963,Murray Aviation,Newbury,MA,"Plum Island Aerodrome 24 Plum Island Turnpike Newbury , MA 01951",Irregular,Plum Island Airport,2B2,John Murray,(781) 325-2135,jbmflight@gmail.com,,Part 61,No,Ground School; Intro Flight; Simulator,N/A,N/A,N/A,N/A,No,Airline Transport Pilot ATP; Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Multi Engine Instructor MEI; Private Pilot; Recreational Pilot,Instrument,,Flight school,Small Town,201,,,,,,
2137,Anthelion Helicopters,Long Beach,CA,"3200 Airflite Way, Long Beach, California, 90807 United States",,Longbell Ranch Airport,2CL3,,,,,,No,Aviation College Degrees and Certifications,N/A,Yes,N/A,N/A,F1,Helicopter Flight Training,Instrument,,Aviation college; Helicopter school,Medium City,287,,,,,,
416,"Plane Cents Aero Services, LLC",Quincy,FL,"1300 Airport Drive Quincy , FL 32352","Mon - Fri, 7:00 AM to 5:00 PM",Quincy Municipal Airport,2J9,Christopher Rudd,(850) 759-9296,planecentsaeroservices@gmail.com,,,No,Biennial Flight Review; Instrument Proficiency Check,N/A,N/A,N/A,N/A,No,,,,Flight school,Small Town,302,,,,,,
1506,"Sportsman Airpark, Inc.",Newberg,OR,"504 NE Airpark Way Newberg , OR 97132","Sun - Sat, 8:00 AM to 5:00 PM",Sportsman Airpark,2S6,Contact Us,(503) 538-2134,fly@sportsmanairpark.com,Single Engine,Part 61,No,Ground School,N/A,N/A,N/A,N/A,No,Private Pilot,,Tailwheel,Flight school,Small Town,155,,,,,,
